Insert
1
1
1
6
2
4
4
5
4
3
4
4
4
4
16
5
6
6
6
9
7
6
7
8
18
8
8
8
9
14
9
10
30
10
23
12
11
12
28
12
12
13
13
14
37
14
15
15
15
15
15
16
17
16
17
28
17
17
18
18
19
19
23
19
22
33
20
20
33
21
22
22
22
22
22
36
23
23
24
34
24
26
25
25
26
26
26
27
26
27
27
27
27
29
29
29
29
36
30
30

Sort
26
94
197
348
732
939
1323
1493
1446
1783
2083
2342
2788
2950
3419
4549
4805
5281
6023
7320
7012
7740
8888
9368
10018
11032
11795
12976
14022
14917
16002
17110
18240
19371
20840
21939
23741
24464
26282
28042
30957
30728
32544
34060
36202
38388
39841
41528
43051
45806
53273
51656
52311
54828
58022
60646
62294
64902
66113
69657
71561
73967
76961
79398
84021
91277
88185
92407
100703
96103
99240
102563
106416
108946
178721
115911
121067
124186
125975
129900
132224
136211
140091
143018
147280
150967
155688
158506
162105
167711
171863
175499
179418
183302
193580
193869
197750
201815
204840
210673
