Insert
51
68
40
167
59
128
137
80
77
39
97
79
65
32
63
62
67
61
32
256
73
63
62
31
64
57
54
27
58
74
96
63
28
54
51
50
26
97
53
52
53
24
48
50
49
24
49
55
48
48
24
50
189
49
53
23
57
51
83
41
90
374
101
86
28
63
101
71
23
49
52
55
50
24
55
92
55
25
54
52
50
52
24
53
50
50
82
26
66
53
51
24
51
49
65
102
25
52
52
90

Search
16
13
15
832
408
16
10
2366
1230
2478
1359
2034
678
10
2033
4718
4662
4249
3436
2113
9
1330
8
2048
3506
594
6150
4100
7315
2442
6761
8759
4409
3683
5479
7993
8692
2620
3933
1595
8393
7
5546
6782
5192
7
11491
7411
5544
9248
12202
721
2982
12701
6838
3862
12198
6229
8065
1631
15635
15820
5712
8142
10698
14255
15285
3481
7
14228
15569
7762
13613
8513
9670
2890
18057
13836
17767
11736
19281
8287
3353
10738
8042
16338
5992
18066
20537
16648
6926
11361
13704
23807
23174
7608
10625
17663
14393
22179
